Time [das],Tension [g],Steps
1114.5424,539,100
1114.6413,539,100
1114.7363,539,100
1114.8303,539,100
1114.9234,539,100
1115.0203,539,100
1115.1154,539,100
1115.2563,539,100
1115.3493,539,100
1115.4433,539,100
1115.5363,539,100
1115.6294,539,100
1115.7244,539,100
1115.8223,539,100
1115.9203,539,100
1116.0133,539,100
1116.1083,539,100
1116.2033,539,100
1116.3454,539,100
1116.4384,539,100
1116.5342,539,100
1116.6283,539,100
1116.7214,539,100
1116.8153,539,100
1116.9163,539,100
1117.0113,539,100
1117.1094,539,100
1117.2033,539,100
1117.2974,539,100
1117.4342,539,100
1117.5322,539,100
1117.6252,539,100
1117.7202,539,100
1117.8152,539,100
1117.9092,539,100
1118.0032,539,100
